Município,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total
261130 Pombos,1.826,1.893,1.917,2.144,2.315,2.268,2.332,2.229,1.984,1.851,1.53,1.306,1.059,842,635,461,556,27.148
261140 Primavera,1.213,1.209,1.206,1.374,1.399,1.289,1.275,1.178,1.088,937,720,660,529,377,257,182,208,15.101
261150 Quipapá,2.355,2.357,2.173,2.131,2.346,2.272,2.071,2.049,1.722,1.377,1.251,1.048,888,675,582,386,492,26.175
261153 Quixaba,518,546,531,490,515,613,583,462,443,412,384,314,260,274,198,117,145,6.805
261160 Recife,91.696,97.948,109.761,121.048,129.357,123.903,132.518,135.835,127.838,116.786,107.269,97.282,82.279,63.472,47.42,30.659,38.39,1.653.461
261170 Riacho das Almas,1.467,1.479,1.462,1.533,1.747,1.727,1.716,1.547,1.538,1.331,1.191,1.016,763,637,579,407,506,20.646
261180 Ribeirão,3.533,3.623,3.635,4.022,4.124,4.016,3.782,3.906,3.49,3.051,2.83,2.188,1.676,1.317,1.008,662,753,47.616
261190 Rio Formoso,1.962,2.015,2.029,2.004,2.029,2.108,2.051,1.879,1.71,1.45,1.269,1.01,711,472,396,244,289,23.628
261200 Sairé,631,642,607,745,869,803,687,682,774,693,568,477,415,331,312,231,297,9.764
261210 Salgadinho,698,727,752,816,814,872,905,1.048,854,758,632,534,509,372,314,223,240,11.068
261220 Salgueiro,4.923,5,5.124,5.253,5.2,4.811,5.092,4.699,4.479,3.691,3.254,2.579,2.069,1.6,1.344,911,1.22,61.249
261230 Saloá,1.321,1.348,1.264,1.183,1.303,1.25,1.154,1.121,1.066,879,886,769,579,513,448,338,440,15.862
261240 Sanharó,2.164,2.26,2.273,2.527,2.636,2.229,2.022,1.817,1.826,1.48,1.32,1.205,987,665,571,442,466,26.89
261245 Santa Cruz,1.456,1.421,1.314,1.359,1.397,1.218,1.133,1.01,965,830,797,603,492,435,465,311,352,15.558
261247 Santa Cruz da Baixa Verde,991,1.03,1.044,946,978,981,1.174,874,904,734,633,585,433,419,368,258,298,12.65
261250 Santa Cruz do Capibaribe,8.555,8.955,10.525,11.169,10.767,9.813,10.383,9.34,7.673,6.199,4.836,3.522,2.678,1.981,1.445,983,1.073,109.897
261255 Santa Filomena,1.349,1.308,1.177,1.147,1.244,1.183,1.06,1.013,940,816,718,563,523,438,416,308,359,14.562
261260 Santa Maria da Boa Vista,4.091,4.031,3.829,3.796,3.763,3.466,3.353,2.975,2.678,2.204,2.056,1.571,1.278,1.044,817,550,598,42.1
261270 Santa Maria do Cambucá,1.145,1.134,1.056,1.1,1.26,1.142,1.071,1.101,961,828,739,651,523,419,384,328,381,14.223
261280 Santa Terezinha,954,1.007,1.034,967,944,910,931,901,739,616,591,609,438,375,334,219,296,11.865
261290 São Benedito do Sul,1.239,1.169,1.09,1.245,1.46,1.414,1.598,1.444,1.245,1.037,833,663,504,395,308,206,219,16.069
261300 São Bento do Una,5.231,5.168,4.863,5.158,5.345,5.069,4.744,4.445,3.826,3.278,3.104,2.487,2.168,1.736,1.322,979,1.119,60.042
261310 São Caitano,2.965,3,2.964,3.078,3.445,3.202,3.135,2.757,2.558,2.198,2.023,1.576,1.238,962,836,633,798,37.368
261320 São João,1.958,1.962,1.835,1.889,1.999,1.972,1.792,1.653,1.484,1.351,1.199,863,787,730,545,389,491,22.899
261330 São Joaquim do Monte,1.609,1.601,1.542,1.702,1.845,1.783,1.7,1.561,1.356,1.33,1.223,1.036,893,663,553,438,563,21.398
261340 São José da Coroa Grande,1.947,1.894,1.817,1.884,1.862,1.776,1.642,1.606,1.499,1.275,1.186,966,712,523,427,261,309,21.586
261350 São José do Belmonte,2.52,2.615,2.569,2.682,2.741,2.702,2.809,2.412,2.289,1.953,1.897,1.675,1.327,1.198,1.026,686,920,34.021
261360 São José do Egito,2.342,2.469,2.481,2.525,2.688,2.735,2.752,2.576,2.243,2.121,1.982,1.763,1.361,1.263,1.051,759,999,34.11
261370 São Lourenço da Mata,7.884,8.095,8.404,9.083,9.64,9.372,9.43,9.592,8.857,7.81,6.762,5.54,4.486,3.401,2.428,1.605,1.69,114.079
261380 São Vicente Ferrer,1.402,1.436,1.369,1.409,1.588,1.695,1.402,1.342,1.203,1.065,952,843,714,559,388,307,411,18.085
261390 Serra Talhada,6.484,6.804,7.024,6.887,7.164,7.203,7.418,6.55,6.421,5.397,4.806,4.004,2.992,2.401,2.067,1.479,1.814,86.915
261400 Serrita,1.614,1.601,1.528,1.619,1.684,1.588,1.545,1.334,1.258,1.086,977,848,665,531,481,384,453,19.196
261410 Sertânia,2.66,2.73,2.715,2.869,2.974,2.702,3.144,2.755,2.5,2.177,2.101,1.731,1.417,1.075,982,659,859,36.05
261420 Sirinhaém,4.175,4.177,4.127,4.112,4.202,4.062,3.98,3.942,3.334,2.748,2.223,1.606,1.22,862,693,429,469,46.361
261440 Solidão,473,489,459,439,469,540,505,472,392,338,366,276,223,191,164,107,118,6.021
261450 Surubim,4.619,4.82,4.85,4.959,5.436,5.251,5.262,5.208,4.951,4.102,3.622,3.052,2.546,2.174,1.864,1.272,1.659,65.647
261460 Tabira,2.113,2.146,2.139,2.389,2.358,2.289,2.373,2.17,1.99,1.654,1.607,1.317,1.093,986,805,575,690,28.694
261470 Tacaimbó,956,995,982,1.06,1.083,1.019,1.044,948,837,732,706,614,467,437,351,277,351,12.859
261480 Tacaratu,2.416,2.366,2.23,2.206,2.29,2.059,2.065,1.923,1.684,1.393,1.283,1.054,806,774,618,414,525,26.106
261485 Tamandaré,2.085,2.004,1.975,2.124,2.156,2.096,1.924,1.886,1.625,1.376,1.138,1.04,704,540,417,269,264,23.623
261500 Taquaritinga do Norte,2.207,2.212,2.261,2.494,2.603,2.507,2.486,2.288,2.035,1.802,1.61,1.327,948,803,585,458,501,29.127
261510 Terezinha,594,609,580,514,628,617,581,515,434,383,400,322,293,233,200,129,166,7.198
261520 Terra Nova,804,834,861,867,869,798,749,733,717,630,578,500,338,279,261,166,222,10.206
261530 Timbaúba,3.789,3.877,3.882,3.898,4.241,4.35,4.056,4.12,4.013,3.249,3.018,2.655,2.245,1.843,1.385,960,1.221,52.802
261540 Toritama,4.072,4.053,4.603,5.004,4.706,4.105,4.413,3.884,3.143,2.339,1.755,1.309,927,662,476,315,398,46.164
261550 Tracunhaém,1.122,1.141,1.152,1.055,1.034,1.096,1.106,1.128,1.07,935,764,620,523,379,277,209,202,13.813
261560 Trindade,2.966,2.974,2.871,2.869,3.048,2.466,2.506,2.164,1.764,1.572,1.416,1.139,869,675,609,435,473,30.816
261570 Triunfo,973,1.034,1.039,1.008,1.117,1.231,1.254,1.139,984,972,1.029,830,662,554,510,400,507,15.243
261580 Tupanatinga,2.772,2.723,2.437,2.419,2.553,2.347,2.134,1.774,1.611,1.371,1.326,1.085,829,700,580,429,461,27.551
261590 Tuparetama,524,566,565,513,585,594,695,586,581,484,559,501,363,295,290,231,280,8.212
261600 Venturosa,1.515,1.552,1.551,1.573,1.537,1.483,1.531,1.37,1.259,1.038,1.053,822,671,546,446,336,378,18.661
261610 Verdejante,787,786,748,722,808,788,746,650,633,503,531,441,403,289,299,189,230,9.553
261618 Vertente do Lério,540,554,493,473,569,704,631,584,525,470,442,386,341,277,211,154,217,7.571
261620 Vertentes,1.637,1.658,1.67,1.715,1.714,1.682,1.806,1.702,1.433,1.281,1.089,831,702,595,546,359,534,20.954
261630 Vicência,2.411,2.442,2.436,2.626,2.991,2.992,3.074,2.903,2.418,1.959,1.759,1.459,1.173,800,557,390,382,32.772
261640 Vitória de Santo Antão,9.401,9.793,10.21,10.797,11.546,11.282,11.197,11.661,10.646,9.416,8.246,6.91,5.53,4.412,3.403,2.332,2.801,139.583
261650 Xexéu,1.332,1.364,1.281,1.163,1.405,1.308,1.19,1.032,977,830,741,607,492,349,265,208,213,14.757
,,,,,,,,,,,,,,,,,,
